slide_submitter_id	LCC CAFs clusters	LCC T cells clusters	LCC endothelial cells clusters	LCC tumor purity clusters
TCGA-3N-A9WB-06A-01-TS1	0.3991031390134529	0.1896551724137931	0.1990521327014218	0.481981981981982
TCGA-3N-A9WC-06A-01-TSA	0.4894991922455573	0.44114411441144114	0.14883720930232558	0.12869198312236288
TCGA-3N-A9WD-06A-01-TSA	0.2654320987654321	0.16176470588235295	0.23809523809523808	0.39828693790149894
TCGA-BF-A1PV-01A-01-TSA	0.3374233128834356	0.25903614457831325	0.29473684210526313	0.48091603053435117
TCGA-BF-A1PZ-01A-01-TSA	0.603448275862069	0.5232558139534884	0.6176470588235294	0.5883620689655172
TCGA-BF-A3DL-01A-01-TS1	0.3148148148148148	0.18874172185430463	0.5323435843054083	0.36617842876165113
TCGA-BF-A3DM-01A-01-TSA	0.30434782608695654	0.5970149253731343	0.5307262569832403	0.5192307692307693
TCGA-BF-A3DN-01A-01-TSA	0.49029982363315694	0.4747252747252747	0.4783599088838269	0.29136690647482016
TCGA-BF-A5EO-01A-01-TS1	0.5844748858447488	0.7743362831858407	0.5283018867924528	0.26666666666666666
TCGA-BF-A5EP-01A-01-TSA	0.3848797250859107	0.1111111111111111	0.5929203539823009	0.5764075067024129
TCGA-BF-A5ER-01A-01-TS1	0.5203488372093024	0.6132404181184669	0.5009433962264151	0.6136752136752137
TCGA-BF-A5ES-01A-01-TS1	0.5170299727520435	0.33675564681724846	0.535234899328859	0.5212187159956474
TCGA-BF-A9VF-01A-01-TS1	0.1111111111111111	0.23333333333333334	0.17307692307692307	0.5263157894736842
TCGA-BF-AAOU-01A-01-TS1	0.3619631901840491	0.4867469879518072	0.41810344827586204	0.5606060606060606
TCGA-BF-AAP0-06A-01-TS1	0.4797297297297297	0.49523809523809526	0.4282115869017632	0.33865814696485624
TCGA-BF-AAP1-01A-01-TSA	0.175	0.25742574257425743	0.15384615384615385	0.5019305019305019
TCGA-BF-AAP2-01A-01-TS1	0.5060679611650486	0.5012658227848101	0.4315286624203822	0.43450479233226835
TCGA-BF-AAP4-01A-01-TS1	0.4508816120906801	0.43622920517560076	0.34459459459459457	0.4928571428571429
TCGA-BF-AAP6-01A-01-TS1	0.2552083333333333	0.225	0.08333333333333333	1.0
TCGA-BF-AAP7-01A-01-TS1	0.3164251207729469	0.5017543859649123	0.4935897435897436	0.43952802359882004
TCGA-BF-AAP8-01A-01-TSA	0.25735294117647056	0.20707070707070707	0.24	0.5171102661596958
TCGA-D3-A1Q1-06A-02-TSB	0.2638888888888889	0.4581497797356828	0.2549019607843137	0.49673202614379086
TCGA-D3-A1Q3-06A-01-TSA	0.9977851605758582	0.504102096627165	0.9027113237639554	0.11428571428571428
TCGA-D3-A1Q4-06A-01-TSA	0.5449101796407185	0.27358490566037735	0.5235294117647059	0.5151515151515151
TCGA-D3-A1Q5-06A-01-TS1	0.1935483870967742	0.5179934569247546	0.14210526315789473	0.5267260579064588
TCGA-D3-A1Q6-06A-01-TSA	0.5123152709359606	0.5524691358024691	0.5757575757575758	0.20930232558139536
TCGA-D3-A1Q8-06A-01-TSA	0.4878048780487805	0.5563583815028902	0.5732484076433121	0.48342541436464087
TCGA-D3-A1Q9-06A-01-TSA	0.1456953642384106	0.5891341256366723	0.5567010309278351	0.4860759493670886
TCGA-D3-A1QA-06A-01-TSA	0.5066225165562914	0.5039370078740157	0.27976190476190477	0.5300353356890459
TCGA-D3-A1QB-06A-01-TSA	0.2985781990521327	0.5030534351145038	0.41833333333333333	0.17
TCGA-D3-A2J6-06A-01-TSA	0.27633209417596033	0.3941176470588235	0.5031333930170099	0.17857142857142858
TCGA-D3-A2J7-06A-01-TS1	0.4190260475651189	0.37110481586402266	0.38317757009345793	0.17985611510791366
TCGA-D3-A2J9-06A-01-TS1	0.524390243902439	0.5066225165562914	0.5647058823529412	0.6371681415929203
TCGA-D3-A2JA-06A-01-TS1	0.5183537263626251	0.47715736040609136	0.5195968645016797	0.09090909090909091
TCGA-D3-A2JD-06A-01-TSA	0.12	0.4921875	0.47596153846153844	0.5040650406504065
TCGA-D3-A2JE-06A-01-TS1	0.21052631578947367	0.375	0.1875	0.27450980392156865
TCGA-D3-A2JF-06A-01-TS1	0.5590200445434298	0.5	0.578021978021978	0.5098039215686274
TCGA-D3-A2JG-06A-01-TSA	0.10358565737051793	0.2834890965732087	0.20809248554913296	0.5204513399153737
TCGA-D3-A2JH-06A-01-TSA	0.8598848368522073	0.5064562410329986	0.8471074380165289	0.47101449275362317
TCGA-D3-A2JK-06A-01-TS1	0.5888888888888889	0.25301204819277107	0.4840182648401826	0.41935483870967744
TCGA-D3-A2JL-06A-01-TS1	0.5095541401273885	1.0	0.5228571428571429	0.18811881188118812
TCGA-D3-A2JN-06A-01-TSA	0.25	0.4262295081967213	0.2871287128712871	0.3229166666666667
TCGA-D3-A2JO-06A-01-TSA	0.5	0.41487279843444225	0.47619047619047616	0.5835616438356165
TCGA-D3-A2JP-06A-01-TSA	0.1743119266055046	0.9446935724962631	0.19003115264797507	0.1348314606741573
TCGA-D3-A3C1-06A-01-TSA	0.4476744186046512	0.21863799283154123	1.0	0.3805668016194332
TCGA-D3-A3C3-06A-01-TSA	0.25157232704402516	0.5619047619047619	0.5338983050847458	0.5061728395061729
TCGA-D3-A3C6-06A-01-TSA	0.34527687296416937	0.16585365853658537	0.19844357976653695	0.5127610208816705
TCGA-D3-A3C8-06A-01-TSA	0.5265423242467718	0.5080789946140036	0.5053658536585366	0.3333333333333333
