pair	counts	frac	slide_submitter_id
CAFs-tumor_purity	102	0.14305750350631136	TCGA-WE-AAA0-06A-01-TS1
T_cells-endothelial_cells	142	0.370757180156658	TCGA-WE-AAA0-06A-01-TS1
T_cells-tumor_purity	54	0.06601466992665037	TCGA-WE-AAA0-06A-01-TS1
endothelial_cells-tumor_purity	2	0.003110419906687403	TCGA-WE-AAA0-06A-01-TS1
CAFs-T_cells	172	0.3805309734513274	TCGA-EB-A41B-01A-01-TSA
CAFs-endothelial_cells	173	0.4765840220385675	TCGA-EB-A41B-01A-01-TSA
CAFs-tumor_purity	98	0.15883306320907617	TCGA-EB-A41B-01A-01-TSA
T_cells-endothelial_cells	173	0.39588100686498856	TCGA-EB-A41B-01A-01-TSA
T_cells-tumor_purity	106	0.15519765739385066	TCGA-EB-A41B-01A-01-TSA
endothelial_cells-tumor_purity	90	0.14729950900163666	TCGA-EB-A41B-01A-01-TSA
CAFs-T_cells	51	0.14206128133704735	TCGA-EB-A551-01A-02-TSB
CAFs-endothelial_cells	24	0.22857142857142856	TCGA-EB-A551-01A-02-TSB
CAFs-tumor_purity	13	0.02584493041749503	TCGA-EB-A551-01A-02-TSB
T_cells-endothelial_cells	31	0.08115183246073299	TCGA-EB-A551-01A-02-TSB
T_cells-tumor_purity	211	0.35823429541595925	TCGA-EB-A551-01A-02-TSB
endothelial_cells-tumor_purity	44	0.09263157894736843	TCGA-EB-A551-01A-02-TSB
CAFs-T_cells	44	0.19909502262443438	TCGA-RP-A694-06A-01-TSA
CAFs-endothelial_cells	56	0.23140495867768596	TCGA-RP-A694-06A-01-TSA
CAFs-tumor_purity	33	0.09821428571428571	TCGA-RP-A694-06A-01-TSA
T_cells-endothelial_cells	108	0.33436532507739936	TCGA-RP-A694-06A-01-TSA
T_cells-tumor_purity	128	0.3422459893048128	TCGA-RP-A694-06A-01-TSA
endothelial_cells-tumor_purity	183	0.5198863636363636	TCGA-RP-A694-06A-01-TSA
CAFs-T_cells	93	0.16062176165803108	TCGA-D3-A8GD-06A-01-TSA
CAFs-endothelial_cells	76	0.46060606060606063	TCGA-D3-A8GD-06A-01-TSA
CAFs-tumor_purity	13	0.01813110181311018	TCGA-D3-A8GD-06A-01-TSA
T_cells-endothelial_cells	141	0.2422680412371134	TCGA-D3-A8GD-06A-01-TSA
T_cells-tumor_purity	391	0.4762484774665043	TCGA-D3-A8GD-06A-01-TSA
endothelial_cells-tumor_purity	45	0.06114130434782609	TCGA-D3-A8GD-06A-01-TSA
CAFs-T_cells	480	0.47105004906771347	TCGA-Z2-A8RT-06A-01-TS1
CAFs-endothelial_cells	393	0.43666666666666665	TCGA-Z2-A8RT-06A-01-TS1
CAFs-tumor_purity	321	0.2679465776293823	TCGA-Z2-A8RT-06A-01-TS1
T_cells-endothelial_cells	306	0.4434782608695652	TCGA-Z2-A8RT-06A-01-TS1
T_cells-tumor_purity	126	0.11496350364963503	TCGA-Z2-A8RT-06A-01-TS1
endothelial_cells-tumor_purity	49	0.050672182006204755	TCGA-Z2-A8RT-06A-01-TS1
CAFs-T_cells	11	0.22	TCGA-EE-A180-06A-01-TSA
CAFs-endothelial_cells	10	0.23809523809523808	TCGA-EE-A180-06A-01-TSA
CAFs-tumor_purity	17	0.12056737588652482	TCGA-EE-A180-06A-01-TSA
T_cells-endothelial_cells	12	0.23529411764705882	TCGA-EE-A180-06A-01-TSA
T_cells-tumor_purity	17	0.1118421052631579	TCGA-EE-A180-06A-01-TSA
endothelial_cells-tumor_purity	17	0.11888111888111888	TCGA-EE-A180-06A-01-TSA
CAFs-T_cells	46	0.20909090909090908	TCGA-EE-A3J4-06A-01-TS1
CAFs-endothelial_cells	52	0.3880597014925373	TCGA-EE-A3J4-06A-01-TS1
CAFs-tumor_purity	61	0.0953125	TCGA-EE-A3J4-06A-01-TS1
T_cells-endothelial_cells	35	0.22580645161290322	TCGA-EE-A3J4-06A-01-TS1
T_cells-tumor_purity	65	0.1015625	TCGA-EE-A3J4-06A-01-TS1
endothelial_cells-tumor_purity	11	0.017915309446254073	TCGA-EE-A3J4-06A-01-TS1
CAFs-T_cells	682	0.604074402125775	TCGA-D3-A3C8-06A-01-TSA
CAFs-endothelial_cells	687	0.663768115942029	TCGA-D3-A3C8-06A-01-TSA
CAFs-tumor_purity	3	0.00430416068866571	TCGA-D3-A3C8-06A-01-TSA
T_cells-endothelial_cells	1014	0.9013333333333333	TCGA-D3-A3C8-06A-01-TSA
T_cells-tumor_purity	0	0.0	TCGA-D3-A3C8-06A-01-TSA
endothelial_cells-tumor_purity	0	0.0	TCGA-D3-A3C8-06A-01-TSA
CAFs-T_cells	97	0.23373493975903614	TCGA-D3-A3C6-06A-01-TSA
CAFs-endothelial_cells	194	0.5243243243243243	TCGA-D3-A3C6-06A-01-TSA
CAFs-tumor_purity	126	0.20588235294117646	TCGA-D3-A3C6-06A-01-TSA
T_cells-endothelial_cells	109	0.3087818696883853	TCGA-D3-A3C6-06A-01-TSA
T_cells-tumor_purity	94	0.17343173431734318	TCGA-D3-A3C6-06A-01-TSA
endothelial_cells-tumor_purity	94	0.15824915824915825	TCGA-D3-A3C6-06A-01-TSA
CAFs-T_cells	471	0.6305220883534136	TCGA-D3-A2JH-06A-01-TSA
CAFs-endothelial_cells	446	0.7978533094812165	TCGA-D3-A2JH-06A-01-TSA
CAFs-tumor_purity	20	0.03129890453834116	TCGA-D3-A2JH-06A-01-TSA
T_cells-endothelial_cells	444	0.6024423337856174	TCGA-D3-A2JH-06A-01-TSA
T_cells-tumor_purity	93	0.12533692722371967	TCGA-D3-A2JH-06A-01-TSA
endothelial_cells-tumor_purity	17	0.02809917355371901	TCGA-D3-A2JH-06A-01-TSA
CAFs-T_cells	418	0.3181126331811263	TCGA-D3-A1QB-06A-01-TSA
CAFs-endothelial_cells	379	0.5894245723172629	TCGA-D3-A1QB-06A-01-TSA
CAFs-tumor_purity	15	0.02471169686985173	TCGA-D3-A1QB-06A-01-TSA
T_cells-endothelial_cells	577	0.43285821455363843	TCGA-D3-A1QB-06A-01-TSA
T_cells-tumor_purity	158	0.11686390532544379	TCGA-D3-A1QB-06A-01-TSA
endothelial_cells-tumor_purity	68	0.09289617486338798	TCGA-D3-A1QB-06A-01-TSA
CAFs-T_cells	575	0.4670999187652315	TCGA-EB-A4IS-01A-02-TSB
CAFs-endothelial_cells	442	0.42055185537583256	TCGA-EB-A4IS-01A-02-TSB
CAFs-tumor_purity	219	0.19414893617021275	TCGA-EB-A4IS-01A-02-TSB
T_cells-endothelial_cells	166	0.15915627996164908	TCGA-EB-A4IS-01A-02-TSB
T_cells-tumor_purity	107	0.11192468619246862	TCGA-EB-A4IS-01A-02-TSB
endothelial_cells-tumor_purity	125	0.2	TCGA-EB-A4IS-01A-02-TSB
CAFs-T_cells	393	0.5435684647302904	TCGA-EE-A2GT-06A-01-TSA
CAFs-endothelial_cells	390	0.7959183673469388	TCGA-EE-A2GT-06A-01-TSA
CAFs-tumor_purity	28	0.041604754829123326	TCGA-EE-A2GT-06A-01-TSA
T_cells-endothelial_cells	431	0.5944827586206897	TCGA-EE-A2GT-06A-01-TSA
T_cells-tumor_purity	179	0.22431077694235588	TCGA-EE-A2GT-06A-01-TSA
endothelial_cells-tumor_purity	45	0.06465517241379311	TCGA-EE-A2GT-06A-01-TSA
CAFs-T_cells	81	0.2892857142857143	TCGA-DA-A95X-06A-01-TSA
CAFs-endothelial_cells	86	0.33858267716535434	TCGA-DA-A95X-06A-01-TSA
CAFs-tumor_purity	155	0.5400696864111498	TCGA-DA-A95X-06A-01-TSA
T_cells-endothelial_cells	40	0.24539877300613497	TCGA-DA-A95X-06A-01-TSA
T_cells-tumor_purity	35	0.12962962962962962	TCGA-DA-A95X-06A-01-TSA
endothelial_cells-tumor_purity	41	0.16872427983539096	TCGA-DA-A95X-06A-01-TSA
CAFs-T_cells	1139	0.8576807228915663	TCGA-EB-A82B-01A-01-TSA
CAFs-endothelial_cells	1039	0.7901140684410647	TCGA-EB-A82B-01A-01-TSA
CAFs-tumor_purity	13	0.00984102952308857	TCGA-EB-A82B-01A-01-TSA
T_cells-endothelial_cells	926	0.7285601888276947	TCGA-EB-A82B-01A-01-TSA
T_cells-tumor_purity	9	0.007705479452054794	TCGA-EB-A82B-01A-01-TSA
endothelial_cells-tumor_purity	6	0.005671077504725898	TCGA-EB-A82B-01A-01-TSA
CAFs-T_cells	26	0.11818181818181818	TCGA-W3-AA1W-06A-01-TS1
CAFs-endothelial_cells	12	0.22641509433962265	TCGA-W3-AA1W-06A-01-TS1
CAFs-tumor_purity	1	0.009615384615384616	TCGA-W3-AA1W-06A-01-TS1
T_cells-endothelial_cells	37	0.16666666666666666	TCGA-W3-AA1W-06A-01-TS1
T_cells-tumor_purity	71	0.31140350877192985	TCGA-W3-AA1W-06A-01-TS1
endothelial_cells-tumor_purity	12	0.11320754716981132	TCGA-W3-AA1W-06A-01-TS1
CAFs-T_cells	172	0.5408805031446541	TCGA-D3-A8GO-06A-01-TS1
CAFs-endothelial_cells	122	0.4765625	TCGA-D3-A8GO-06A-01-TS1
CAFs-tumor_purity	21	0.07526881720430108	TCGA-D3-A8GO-06A-01-TS1
T_cells-endothelial_cells	101	0.36727272727272725	TCGA-D3-A8GO-06A-01-TS1
T_cells-tumor_purity	13	0.0456140350877193	TCGA-D3-A8GO-06A-01-TS1
endothelial_cells-tumor_purity	4	0.02197802197802198	TCGA-D3-A8GO-06A-01-TS1
CAFs-T_cells	26	0.19696969696969696	TCGA-FS-A4FD-06A-01-TS1
CAFs-endothelial_cells	38	0.3584905660377358	TCGA-FS-A4FD-06A-01-TS1
CAFs-tumor_purity	51	0.13527851458885942	TCGA-FS-A4FD-06A-01-TS1
T_cells-endothelial_cells	21	0.20388349514563106	TCGA-FS-A4FD-06A-01-TS1
T_cells-tumor_purity	25	0.06527415143603134	TCGA-FS-A4FD-06A-01-TS1
endothelial_cells-tumor_purity	25	0.06775067750677506	TCGA-FS-A4FD-06A-01-TS1
CAFs-T_cells	4	0.06451612903225806	TCGA-FW-A3TU-06A-01-TS1
CAFs-endothelial_cells	45	0.0872093023255814	TCGA-FW-A3TU-06A-01-TS1
CAFs-tumor_purity	42	0.08333333333333333	TCGA-FW-A3TU-06A-01-TS1
T_cells-endothelial_cells	21	0.040697674418604654	TCGA-FW-A3TU-06A-01-TS1
T_cells-tumor_purity	11	0.021526418786692758	TCGA-FW-A3TU-06A-01-TS1
endothelial_cells-tumor_purity	501	0.9709302325581395	TCGA-FW-A3TU-06A-01-TS1
CAFs-T_cells	167	0.36069114470842334	TCGA-EE-A3AF-06A-01-TSA
CAFs-endothelial_cells	281	0.6754807692307693	TCGA-EE-A3AF-06A-01-TSA
CAFs-tumor_purity	129	0.1969465648854962	TCGA-EE-A3AF-06A-01-TSA
T_cells-endothelial_cells	203	0.45111111111111113	TCGA-EE-A3AF-06A-01-TSA
T_cells-tumor_purity	70	0.1044776119402985	TCGA-EE-A3AF-06A-01-TSA
endothelial_cells-tumor_purity	133	0.19732937685459942	TCGA-EE-A3AF-06A-01-TSA
CAFs-T_cells	119	0.3269230769230769	TCGA-EE-A3AH-06A-01-TS1
CAFs-endothelial_cells	124	0.38390092879256965	TCGA-EE-A3AH-06A-01-TS1
CAFs-tumor_purity	51	0.06763925729442971	TCGA-EE-A3AH-06A-01-TS1
T_cells-endothelial_cells	165	0.3691275167785235	TCGA-EE-A3AH-06A-01-TS1
T_cells-tumor_purity	143	0.17291414752116083	TCGA-EE-A3AH-06A-01-TS1
endothelial_cells-tumor_purity	138	0.17336683417085427	TCGA-EE-A3AH-06A-01-TS1
CAFs-T_cells	161	0.47214076246334313	TCGA-FW-A3I3-06A-01-TSA
CAFs-endothelial_cells	165	0.6573705179282868	TCGA-FW-A3I3-06A-01-TSA
CAFs-tumor_purity	72	0.10794602698650675	TCGA-FW-A3I3-06A-01-TSA
T_cells-endothelial_cells	143	0.44272445820433437	TCGA-FW-A3I3-06A-01-TSA
T_cells-tumor_purity	140	0.21571648690292758	TCGA-FW-A3I3-06A-01-TSA
endothelial_cells-tumor_purity	53	0.08153846153846153	TCGA-FW-A3I3-06A-01-TSA
CAFs-T_cells	12	0.07017543859649122	TCGA-EE-A29E-06A-01-TSA
CAFs-endothelial_cells	32	0.11228070175438597	TCGA-EE-A29E-06A-01-TSA
CAFs-tumor_purity	33	0.06066176470588235	TCGA-EE-A29E-06A-01-TSA
T_cells-endothelial_cells	97	0.313915857605178	TCGA-EE-A29E-06A-01-TSA
T_cells-tumor_purity	92	0.1602787456445993	TCGA-EE-A29E-06A-01-TSA
endothelial_cells-tumor_purity	222	0.38408304498269896	TCGA-EE-A29E-06A-01-TSA
CAFs-T_cells	132	0.3656509695290859	TCGA-XV-AAZW-01A-01-TS1
CAFs-endothelial_cells	215	0.6398809523809523	TCGA-XV-AAZW-01A-01-TS1
CAFs-tumor_purity	106	0.24708624708624707	TCGA-XV-AAZW-01A-01-TS1
T_cells-endothelial_cells	128	0.3950617283950617	TCGA-XV-AAZW-01A-01-TS1
T_cells-tumor_purity	56	0.14736842105263157	TCGA-XV-AAZW-01A-01-TS1
endothelial_cells-tumor_purity	80	0.1932367149758454	TCGA-XV-AAZW-01A-01-TS1
CAFs-T_cells	18	0.18	TCGA-DA-A960-01A-01-TSA
CAFs-endothelial_cells	38	0.14074074074074075	TCGA-DA-A960-01A-01-TSA
CAFs-tumor_purity	16	0.04938271604938271	TCGA-DA-A960-01A-01-TSA
T_cells-endothelial_cells	65	0.22807017543859648	TCGA-DA-A960-01A-01-TSA
T_cells-tumor_purity	43	0.12684365781710916	TCGA-DA-A960-01A-01-TSA
endothelial_cells-tumor_purity	220	0.625	TCGA-DA-A960-01A-01-TSA
CAFs-T_cells	312	0.611764705882353	TCGA-D3-A2JL-06A-01-TS1
CAFs-endothelial_cells	266	0.6683417085427136	TCGA-D3-A2JL-06A-01-TS1
CAFs-tumor_purity	22	0.05597964376590331	TCGA-D3-A2JL-06A-01-TS1
T_cells-endothelial_cells	347	0.6790606653620352	TCGA-D3-A2JL-06A-01-TS1
T_cells-tumor_purity	94	0.1825242718446602	TCGA-D3-A2JL-06A-01-TS1
endothelial_cells-tumor_purity	31	0.07380952380952381	TCGA-D3-A2JL-06A-01-TS1
CAFs-T_cells	74	0.23197492163009403	TCGA-FR-A8YC-06A-01-TS1
CAFs-endothelial_cells	45	0.32608695652173914	TCGA-FR-A8YC-06A-01-TS1
CAFs-tumor_purity	37	0.08685446009389672	TCGA-FR-A8YC-06A-01-TS1
T_cells-endothelial_cells	34	0.11409395973154363	TCGA-FR-A8YC-06A-01-TS1
T_cells-tumor_purity	119	0.2413793103448276	TCGA-FR-A8YC-06A-01-TS1
endothelial_cells-tumor_purity	21	0.05511811023622047	TCGA-FR-A8YC-06A-01-TS1
CAFs-T_cells	85	0.4187192118226601	TCGA-EE-A2MS-06A-01-TSA
CAFs-endothelial_cells	139	0.5650406504065041	TCGA-EE-A2MS-06A-01-TSA
CAFs-tumor_purity	69	0.2633587786259542	TCGA-EE-A2MS-06A-01-TSA
T_cells-endothelial_cells	120	0.46332046332046334	TCGA-EE-A2MS-06A-01-TSA
T_cells-tumor_purity	65	0.25	TCGA-EE-A2MS-06A-01-TSA
endothelial_cells-tumor_purity	152	0.562962962962963	TCGA-EE-A2MS-06A-01-TSA
CAFs-T_cells	166	0.5123456790123457	TCGA-D3-A51J-06A-01-TS1
CAFs-endothelial_cells	131	0.6485148514851485	TCGA-D3-A51J-06A-01-TS1
CAFs-tumor_purity	10	0.03355704697986577	TCGA-D3-A51J-06A-01-TS1
T_cells-endothelial_cells	143	0.44135802469135804	TCGA-D3-A51J-06A-01-TS1
T_cells-tumor_purity	87	0.24507042253521127	TCGA-D3-A51J-06A-01-TS1
endothelial_cells-tumor_purity	21	0.07954545454545454	TCGA-D3-A51J-06A-01-TS1
CAFs-T_cells	113	0.34036144578313254	TCGA-W3-AA1V-06B-01-TS1
CAFs-endothelial_cells	18	0.1232876712328767	TCGA-W3-AA1V-06B-01-TS1
CAFs-tumor_purity	79	0.2540192926045016	TCGA-W3-AA1V-06B-01-TS1
T_cells-endothelial_cells	20	0.06472491909385113	TCGA-W3-AA1V-06B-01-TS1
T_cells-tumor_purity	185	0.5	TCGA-W3-AA1V-06B-01-TS1
endothelial_cells-tumor_purity	7	0.026217228464419477	TCGA-W3-AA1V-06B-01-TS1
CAFs-T_cells	62	0.2339622641509434	TCGA-W3-AA1Q-06A-01-TSA
CAFs-endothelial_cells	42	0.1917808219178082	TCGA-W3-AA1Q-06A-01-TSA
CAFs-tumor_purity	95	0.3064516129032258	TCGA-W3-AA1Q-06A-01-TSA
T_cells-endothelial_cells	13	0.09090909090909091	TCGA-W3-AA1Q-06A-01-TSA
T_cells-tumor_purity	37	0.14068441064638784	TCGA-W3-AA1Q-06A-01-TSA
endothelial_cells-tumor_purity	11	0.04932735426008968	TCGA-W3-AA1Q-06A-01-TSA
CAFs-T_cells	736	0.9211514392991239	TCGA-D3-A51N-06A-01-TSA
CAFs-endothelial_cells	497	0.6479791395045632	TCGA-D3-A51N-06A-01-TSA
CAFs-tumor_purity	6	0.007751937984496124	TCGA-D3-A51N-06A-01-TSA
T_cells-endothelial_cells	477	0.6037974683544304	TCGA-D3-A51N-06A-01-TSA
T_cells-tumor_purity	3	0.0038461538461538464	TCGA-D3-A51N-06A-01-TSA
endothelial_cells-tumor_purity	4	0.007874015748031496	TCGA-D3-A51N-06A-01-TSA
CAFs-T_cells	80	0.29304029304029305	TCGA-EB-A5VU-01A-02-TSB
CAFs-endothelial_cells	104	0.31901840490797545	TCGA-EB-A5VU-01A-02-TSB
CAFs-tumor_purity	179	0.3248638838475499	TCGA-EB-A5VU-01A-02-TSB
T_cells-endothelial_cells	41	0.17672413793103448	TCGA-EB-A5VU-01A-02-TSB
T_cells-tumor_purity	39	0.07303370786516854	TCGA-EB-A5VU-01A-02-TSB
endothelial_cells-tumor_purity	124	0.23574144486692014	TCGA-EB-A5VU-01A-02-TSB
CAFs-T_cells	21	0.15328467153284672	TCGA-D3-A3MO-06A-01-TSA
CAFs-endothelial_cells	18	0.28125	TCGA-D3-A3MO-06A-01-TSA
CAFs-tumor_purity	4	0.02666666666666667	TCGA-D3-A3MO-06A-01-TSA
T_cells-endothelial_cells	36	0.2465753424657534	TCGA-D3-A3MO-06A-01-TSA
T_cells-tumor_purity	55	0.27638190954773867	TCGA-D3-A3MO-06A-01-TSA
endothelial_cells-tumor_purity	24	0.15584415584415584	TCGA-D3-A3MO-06A-01-TSA
CAFs-T_cells	26	0.20155038759689922	TCGA-FS-A1ZJ-06A-01-TSA
CAFs-endothelial_cells	74	0.36633663366336633	TCGA-FS-A1ZJ-06A-01-TSA
CAFs-tumor_purity	17	0.05802047781569966	TCGA-FS-A1ZJ-06A-01-TSA
T_cells-endothelial_cells	50	0.2242152466367713	TCGA-FS-A1ZJ-06A-01-TSA
T_cells-tumor_purity	25	0.08865248226950355	TCGA-FS-A1ZJ-06A-01-TSA
endothelial_cells-tumor_purity	120	0.38961038961038963	TCGA-FS-A1ZJ-06A-01-TSA
CAFs-T_cells	61	0.3546511627906977	TCGA-FS-A1ZH-06A-01-TS1
CAFs-endothelial_cells	64	0.49230769230769234	TCGA-FS-A1ZH-06A-01-TS1
CAFs-tumor_purity	3	0.0072992700729927005	TCGA-FS-A1ZH-06A-01-TS1
T_cells-endothelial_cells	91	0.4504950495049505	TCGA-FS-A1ZH-06A-01-TS1
T_cells-tumor_purity	35	0.07322175732217573	TCGA-FS-A1ZH-06A-01-TS1
endothelial_cells-tumor_purity	30	0.06756756756756757	TCGA-FS-A1ZH-06A-01-TS1
CAFs-T_cells	170	0.5782312925170068	TCGA-EB-A550-01A-06-TSF
CAFs-endothelial_cells	220	0.7638888888888888	TCGA-EB-A550-01A-06-TSF
CAFs-tumor_purity	101	0.30513595166163143	TCGA-EB-A550-01A-06-TSF
T_cells-endothelial_cells	153	0.5773584905660377	TCGA-EB-A550-01A-06-TSF
